id Declarator,"ФИО депутата, автора законопроекта","Количество законопроектов, внесенных депутатом в указанный период","Количество внесенных законопроектов, подписанных президентом","Процент успешных законопроектов, %",Сумма дней прохождения всех законопроектов,Среднее количество дней прохождения законопроекта депутата-автора,Примечания,Служебное
31979,Марков Андрей Павлович,4,0,"0,00%",0,0,,
9151,Марченко Евгений Евгеньевич,3,0,"0,00%",0,0,,
13150,Медведев Иван Владимирович,3,0,"0,00%",0,0,,
2478,Милонов Виталий Валентинович,9,0,"0,00%",0,0,,
31982,Миронова Валентина Михайловна,1,0,"0,00%",0,0,,
19868,Митина Елена Анатольевна,1,0,"0,00%",0,0,,
15763,Мищеряков Юрий Николаевич,2,0,"0,00%",0,0,,
31986,Москвин Денис Павлович,0,0,"0,00%",0,0,,
210,Муцоев Зелимхан Аликоевич,1,0,"0,00%",0,0,,
31920,Назарова Наталья Васильевна,0,0,"0,00%",0,0,,
513,Некрасов Александр Николаевич,7,0,"0,00%",0,0,,
14046,Николаева Виктория Викторовна,1,0,"0,00%",0,0,,
31923,Новиков Владимир Михайлович,3,0,"0,00%",0,0,,
42,Новиков Дмитрий Георгиевич,23,0,"0,00%",0,0,,
634,Огуль Леонид Анатольевич,3,0,"0,00%",0,0,,
8949,Ооржак Мерген Дадар-оолович,0,0,"0,00%",0,0,,
388,Осадчий Николай Иванович,21,0,"0,00%",0,0,,
57381,Пайкин Борис Романович,8,0,"0,00%",0,0,,
12196,Палкин Андрей Васильевич,11,0,"0,00%",0,0,,
31951,Пантелеев Сергей Михайлович,21,0,"0,00%",0,0,,
31952,Парфенов Денис Андреевич,19,0,"0,00%",0,0,,
31953,Пахомов Сергей Александрович,2,0,"0,00%",0,0,,
31955,Перминов Дмитрий Сергеевич,2,0,"0,00%",0,0,,
467,Петров Александр Петрович,1,0,"0,00%",0,0,,
14650,Петров Анатолий Ильич,0,0,"0,00%",0,0,,
220,Петров Сергей Валериевич,0,0,"0,00%",0,0,,
222,Пивненко Валентина Николаевна,2,0,"0,00%",0,0,,
14872,Пилюс Наталия Николаевна,3,0,"0,00%",0,0,,
520,Пимашков Петр Иванович,0,0,"0,00%",0,0,,
31965,Пирог Дмитрий Юрьевич,1,0,"0,00%",0,0,,
387,Поздняков Владимир Георгиевич,24,0,"0,00%",0,0,,
14649,Поляков Александр Алексеевич,1,0,"0,00%",0,0,,
1130,Пономарев Аркадий Николаевич,2,0,"0,00%",0,0,,
47,Пономарёв Алексей Алексеевич,25,0,"0,00%",0,0,,
484,Прокопьев Александр Сергеевич,0,0,"0,00%",0,0,,
31969,Пушкарев Владимир Александрович,0,0,"0,00%",0,0,,
31970,Пушкина Оксана Викторовна,3,0,"0,00%",0,0,,
31943,Ревенко Евгений Васильевич,2,0,"0,00%",0,0,,
164,Роднина Ирина Константиновна,3,0,"0,00%",0,0,,
31948,Романов Михаил Валентинович,2,0,"0,00%",0,0,,
15323,Рудченко Валентина Васильевна,3,0,"0,00%",0,0,,
53,Русских Алексей Юрьевич,22,0,"0,00%",0,0,,
231,Саблин Дмитрий Вадимович,5,0,"0,00%",0,0,,
360,Савельев Дмитрий Иванович,5,0,"0,00%",0,0,,
31769,Сайтиев Бувайсар Хамидович,2,0,"0,00%",0,0,,
31774,Санина Наталья Петровна,0,0,"0,00%",0,0,,
15779,Сапко Игорь Вячеславович,9,0,"0,00%",0,0,,
375,Свинцов Андрей Николаевич,15,0,"0,00%",0,0,,
103,Селезнев Валерий Сергеевич,0,0,"0,00%",0,0,,
639,Селимханов Магомед Саламович,0,0,"0,00%",0,0,,
31895,Серова Елена Олеговна,1,0,"0,00%",0,0,,
14248,Серпер Евгений Александрович,1,0,"0,00%",0,0,,
264,Сибагатуллин Фатих Саубанович,2,0,"0,00%",0,0,,
31896,Сидоров Александр Леонидович,1,0,"0,00%",0,0,,
1743,Силанов Алексей Николаевич,0,0,"0,00%",0,0,,
15616,Синяговский Владимир Ильич,5,0,"0,00%",0,0,,
13177,Ситников Алексей Владимирович,0,0,"0,00%",0,0,,
31908,Скляр Геннадий Иванович,2,0,"0,00%",0,0,,
251,Скоч Андрей Владимирович,0,0,"0,00%",0,0,,
256,Скруг Валерий Степанович,3,0,"0,00%",0,0,,
15547,Слыщенко Константин Григорьевич,1,0,"0,00%",0,0,,
